Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
Maleceptor,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Encephalic Diffusion (Aura, Psychic):"", "" While an enemy unit is within 6\"" of this model, each time a model in that unit makes an attack, subtract 1 from the Hit roll, and, if that enemy unit is Below Half-strength, subtract 1 from the Wound roll as well.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""170""]]]","[""BODYGUARD"", ""NA""]"
Mawloc,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Terror From The Deep:"", "" Each time this model is set up on the battlefield using the Deep Strike ability, roll one D6 for each enemy unit within 12\"" of this model: on a 2-4, that unit suffers D3 mortal wounds; on a 5+, that unit suffers 3 mortal wounds and must take a Battle-shock test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""145""]]]","[""BODYGUARD"", ""NA""]"
Mucolid Spores,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Bio-minefield:"", "" Enemy units cannot start or end an Advance move within 6\"" of this unit.""], [""Floating Death:"", "" Each time this unit or an enemy unit ends a move, for each model in this unit that is within 3\"" of one or more enemy units, select one of those enemy units. That model in this unit is destroyed, then roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D6 mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""50""], [""2"", ""100""]]]","[""BODYGUARD"", ""NA""]"
Neurogaunts,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Neurocytes:"", "" While this unit is within Synapse Range of a friendly Tyranids unit (excluding NEUROGAUNT units), it has the SYNAPSE keyword.""]]]","[""WARGEAR"", ""*""]","[[[""11"", ""45""], [""22"", ""90""]]]","[""BODYGUARD"", ""NA""]"
Neurolictor,"[[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Feeder Tendrils:"", "" Each time this model destroys an enemy CHARACTER model, you gain 1CP.""], [""Neural Disruption:"", "" In your Command phase, select one enemy unit within 12\"" of this model. That unit must take a Battle-shock test.""], [""Psychological Saboteur (Aura):"", "" While an enemy unit is within 12\"" of this model, if that unit is Battle-shocked:Each time a model in that unit makes an attack, subtract 1 from the Hit roll.Each time a friendly Tyranids model makes an attack that targets that unit, add 1 to the Wound roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""65""]]]","[""BODYGUARD"", ""NA""]"
Norn Assimilator,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Singular Purpose:"", "" At the start of the first battle round, select one of the following:Select one enemy unit. Until the end of the battle, each time this model makes an attack that targets that unit, you can re-roll the Hit roll and you can re-roll the Wound roll.Select one objective marker. Until the end of the battle, while this model is within range of that objective marker, it has the Feel No Pain 5+ ability and an Objective Control characteristic of 15.""], [""Harpoon Barbs:"", "" Once per turn, when an enemy unit within Engagement Range of this model is selected to Fall Back, roll one D6: on a 2+, that unit suffers D6 mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""310""]]]","[""BODYGUARD"", ""NA""]"
Norn Emissary,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Singular Purpose:"", "" At the start of the first battle round, select one of the following:Select one enemy unit. Until the end of the battle, each time this model makes an attack that targets that unit, you can re-roll the Hit roll and you can re-roll the Wound roll.Select one objective marker. Until the end of the battle, while this model is within range of that objective marker, it has the Feel No Pain 5+ ability and an Objective Control characteristic of 15.""], [""Unnatural Resilience:"", "" This model has the Feel No Pain 4+ ability against mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""290""]]]","[""BODYGUARD"", ""NA""]"
Psychophage,"[[""CORE"", "" Deadly Demise 1"", "" Feel No Pain 5+""]]","[[""FACTION"", "" Synapse""]]","[[[""Bio-stimulus (Aura):"", "" While a friendly Tyranids unit is within 6\"" of this model, models in that unit have the Feel No Pain 6+ ability.""], [""Feeding Frenzy:"", "" Each time this model makes a melee attack that targets a unit that is below its Starting Strength, add 1 to the Hit roll. If that target is also Below Half-strength, add 1 to the Wound roll as well.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""125""]]]","[""BODYGUARD"", ""NA""]"
Pyrovores,"[[""CORE"", "" Deadly Demise 1""]]","[[""FACTION"", "" Synapse""]]","[[[""Burning Spray:"", "" In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks. Until the end of the phase, that enemy unit cannot have the Benefit of Cover.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""30""], [""2"", ""60""], [""3"", ""90""]]]","[""BODYGUARD"", ""NA""]"
Raveners,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Death From Below:"", "" At the end of your opponent's turn, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.""]], [[""Armoured Thorax:"", "" The bearer has a Save characteristic of 4+.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""75""], [""6"", ""150""]]]","[""BODYGUARD"", ""NA""]"
Ripper Swarms,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Chitinous Horrors (Aura):"", "" While an enemy unit is within Engagement Range of this unit, halve the Objective Control characteristic of models in that enemy unit.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""20""], [""2"", ""40""], [""3"", ""60""]]]","[""BODYGUARD"", ""NA""]"
Screamer-killer,"[[""CORE"", "" Deadly Demise 1""]]","[[""FACTION"", "" Synapse""]]","[[[""Death Scream:"", "" In your Shooting phase, after this model has shot, select one unit hit by one or more of those attacks. That unit must take a Battle-shock test, subtracting 1 from that test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""170""]]]","[""BODYGUARD"", ""NA""]"
Spore Mines,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Bio-minefield:"", "" Enemy units cannot start or end an Advance move within 6\"" of this unit.""], [""Floating Death:"", "" Each time this unit or an enemy unit ends a move, for each model in this unit that is within 3\"" of one or more enemy units, select one of those enemy units. That model in this unit is destroyed, then roll one D6: on a 2-5, that enemy unit suffers 1 mortal wound; on a 6, that enemy unit suffers D3 mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""55""], [""6"", ""110""]]]","[""BODYGUARD"", ""NA""]"
Sporocyst,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Synapse""]]","[[[""Seed Mucolids:"", "" Once per turn, in your Shooting phase, when selected to shoot, one unit with this ability can use it instead of making any attacks with its ranged weapons. If it does, you can add one new MUCOLID SPORES unit containing 1 model to your army and set it up anywhere on the battlefield that is wholly within 18\"" of this model and more than 9\"" horizontally away from all enemy units.""], [""Hive Defences:"", "" You can target this model with the Fire Overwatch Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this turn. This model can only be targeted with that Stratagem once per turn.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""145""]]]","[""BODYGUARD"", ""NA""]"
Toxicrene,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Synapse""]]","[[[""Grasping Tendrils:"", "" Each time an enemy unit (excluding TITANIC units) within Engagement Range of one or more units from your army with this ability is selected to Fall Back, you can roll one D6: on a 3+, that enemy unit must Remain Stationary instead.""], [""Hypertoxic Miasma (Aura):"", "" At the end of your Movement phase, roll one 06 for each enemy unit within 6\"" of this model: on a 2-3, that unit suffers 1 mortal wound; on a 4-5, that unit suffers D3 mortal wounds; on a 6, that unit suffers D6 mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""180""]]]","[""BODYGUARD"", ""NA""]"
Trygon,"[[""CORE"", "" Deep Strike""]]","[[""FACTION"", "" Synapse""]]","[[[""Subterranean Tunnels:"", "" Each time this model is set up on the battlefield using the Deep Strike ability, it can be set up anywhere on the battlefield that is more than 3\"" horizontally away from all enemy units. When doing so, if this model is set up within 9\"" of one or more enemy units, until the end of the turn, it is not eligible to declare a charge.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""180""]]]","[""BODYGUARD"", ""NA""]"
Tyranid Warriors With Melee Bio-weapons,"[""CORE"", ""*""]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Adaptive Instincts:"", "" At the start of the Fight phase, select one of the following:""], [""Aggression Imperative:"", "" Until the end of the phase, each time a model in this unit makes an attack, re-roll a Hit roll of 1.""], [""Bioregeneration:"", "" Until the end of the phase, each time a saving throw is made for a model in this unit, re-roll a saving throw of 1.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""85""], [""6"", ""170""]]]","[""BODYGUARD"", ""NA""]"
Tyranid Warriors With Ranged Bio-weapons,"[""CORE"", ""*""]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Adaptable Predators:"", "" This unit is eligible to shoot and declare a charge in a turn in which it Fell Back.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""70""], [""6"", ""140""]]]","[""BODYGUARD"", ""NA""]"
Tyrannofex,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Synapse""]]","[[[""Resilient Organism:"", "" Once per battle, when an attack is allocated to this model, you can change the Damage characteristic of that attack to 0.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""245""]]]","[""BODYGUARD"", ""NA""]"
Tyrant Guard,"[""CORE"", ""*""]","[[""FACTION"", "" Synapse""]]","[[[""Guardian Organism:"", "" While a CHARACTER model is leading this unit, that CHARACTER has the Feel No Pain 5+ ability.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""95""], [""6"", ""190""]]]","[""BODYGUARD"", ""NA""]"
Venomthropes,"[[""CORE"", "" Stealth""]]","[[""FACTION"", "" Synapse""]]","[[[""Foul Spores (Aura):"", "" While a friendly Tyranids unit is within 6\"" of this unit, each time a ranged attack targets that unit, models in that unit have the Benefit of Cover against that attack. In addition, while a friendly Tyranids unit (excluding MONSTERS) is within 6\"" of this unit, models in that unit have the Stealth ability.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""70""], [""6"", ""140""]]]","[""BODYGUARD"", ""NA""]"
Von Ryan's Leapers,"[[""CORE"", "" Fights First"", "" Infiltrators"", "" Stealth""]]","[[""FACTION"", "" Synapse""]]","[[[""Pouncing Leap:"", "" You can target this unit with the Heroic Intervention Stratagem for 0CP, and can do so even if you have already used that Stratagem on a different unit this phase.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""75""], [""6"", ""150""]]]","[""BODYGUARD"", ""NA""]"
Zoanthropes,"[""CORE"", ""*""]","[[""FACTION"", "" Shadow in the Warp"", "" Synapse""]]","[[[""Spirit Leech (Aura, Psychic):"", "" While an enemy unit is within 6\"" of this unit, if this unit contains a Neurothrope, each time that enemy unit fails a Battle-shock test, it suffers D3 mortal wounds and one model in this unit regains up to D3 lost wounds.""], [""Warp Field (Aura, Psychic):"", "" While a friendly Tyranids unit is within 6\"" of this unit, models in that unit have a 6+ invulnerable save.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""110""], [""6"", ""220""]]]","[""BODYGUARD"", ""NA""]"
Barbed Hierodule,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Synapse""]]","[[[""Overgrown Barbs:"", "" In your Shooting phase, after this model has shot, select one enemy unit (excluding TITANIC units) that was hit by one or more of those attacks. Until the start of your next turn, while this model is on the battlefield, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""340""]]]","[""BODYGUARD"", ""NA""]"
Harridan,"[[""CORE"", "" Deadly Demise 2D6"", "" Hover""]]","[[""FACTION"", "" Synapse""]]","[[[""Frenzied Metabolism:"", "" Each time this model is selected to shoot, you can use this ability. If you do, until the end of the phase, each time this model makes an attack, add 1 to the Wound roll. After resolving those attacks, roll one D6: on a 2+, this model suffers D3 mortal wounds.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""610""]]]","[""BODYGUARD"", ""NA""]"
Hierophant,"[[""CORE"", "" Deadly Demise 2D6""]]","[[""FACTION"", "" Synapse""]]","[[[""Apex-beast:"", "" Each time this model makes an attack that targets a unit that is Battle-shocked, add 1 to the Hit roll.""], [""Stalking Forward:"", "" Each time this model makes a Normal, Advance or Fall Back move, it can move over models (excluding TITANIC models) and terrain features that are 4\"" or less in height as if they were not there.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""810""]]]","[""BODYGUARD"", ""NA""]"
Scythed Hierodule,"[[""CORE"", "" Deadly Demise D6""]]","[[""FACTION"", "" Synapse""]]","[[[""Irresistible Force:"", "" This model is eligible to declare a charge in a turn in which it Fell Back.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""330""]]]","[""BODYGUARD"", ""NA""]"
