Ursula Creed,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""FACTION"", "" Voice of Command""]","[[""Lord Castellan:"", "" While this model is leading a unit, that unit can be affected by up to two different Orders at the same time.""], [""Tactical Genius:"", "" Once per battle round, one REGIMENT unit from your army within 12\"" of this model can be targeted with a Stratagem for 0CP, even if another unit from your army has already been targeted with that Stratagem this phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""55""]]","[""CADIAN SHOCK TROOPS"", ""INFANTRY SQUAD"", ""KASRKIN""]"
Death Korps Marshal,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 5+"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Martial Dedication:"", "" While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.""], [""Cult of Sacrifice:"", "" Once per battle, you can target this model's unit with the Insane Bravery Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this phase. This cannot allow you to use the Insane Bravery Stratagem more than twice per phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""60""]]","[""DEATH KORPS OF KRIEG"", ""INFANTRY SQUAD"", ""DEATH KORPS GRENADIER SQUAD""]"
Death Rider Squadron Commander,"[""Weapon"", ""*""]","[""CORE"", "" Leader""]","[""FACTION"", "" Voice of Command""]","[[""Rapid Reconnaissance:"", "" While this model is leading a unit, models in that unit have the Infiltrators ability.""], [""Glorious Charge:"", "" Each time this model makes a Charge move, until the end of the turn, its Death Rider hunting lance has the [DEVASTATING WOUNDS] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""60""]]","[""DEATH RIDER SQUADRON""]"
Cadian Shock Troops,"[""Weapon"", ""*""]","[""CORE"", ""*""]","[""Faction"", ""*""]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]","[[""Shock Troops:"", "" At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.""]]","[[""10"", ""60""], [""20"", ""120""]]"
Catachan Jungle Fighters,"[""Weapon"", ""*""]","[""CORE"", "" Scouts 6""]","[""Faction"", ""*""]","[[""Jungle Fighters:"", "" Each time a model in this unit makes a melee attack, if this unit made a Charge move or was charged this turn, improve the Strength and Armour Penetration characteristics of that attack by 1.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]","[[""10"", ""55""], [""20"", ""110""]]"
Death Korps Of Krieg,"[""Weapon"", ""*""]","[""CORE"",""*""]","[""Faction"", ""*""]","[[""Grim Demeanour:"", "" Each time a model in this unit makes an attack, add 1 to the Hit roll if this unit is below its Starting Strength, and add 1 to the Wound roll as well if this unit is Below Half-strength.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""],[""Death Korps Medi-pack:"", "" At the start of your Command phase, if the bearer's unit is below its Starting Strength, you can return up to D3 destroyed Death Korps Troopers to this unit.""]]","[[""10"", ""65""], [""20"", ""130""]]"
Infantry Squad,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Defenders of Humanity:"", "" Each time a ranged attack targets this unit, if this unit is within range of an objective marker you control, models in this unit have the Benefit of Cover against that attack.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]","[[""10"", ""60""], [""20"", ""120""]]"
Chimera,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]","[""Faction"", ""*""]","[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this Transport can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this Transport.""]]","[[""Wargear"", ""*""]]","[[""1"", ""70""]]"
Taurox,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Rapid Deployment:"", "" Units can disembark from this Transport after it has Advanced. Units that do so count as having made a Normal move that phase, and cannot declare a charge in the same turn, but can otherwise act normally.""]]","[[""Wargear"", ""*""]]","[[""1"", ""65""]]"
Taurox Prime,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""90""]]"
Storm Chimera,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]","[""Faction"", ""*""]","[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this TRANSPORT can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this TRANSPORT.""]]","[[""Wargear"", ""*""]]","[[""1"", ""90""]]"
Aegis Defence Line,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Emplacement Platform:"", "" Friendly ASTRA MILITARUM INFANTRY models can be set up or end any type of move on top of the platform section of this FORTIFICATION.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this FORTIFICATION, that model has the Benefit of Cover against that attack.""], [""Fortification:"", "" While an enemy unit is only within Engagement Range of one or more FORTIFICATIONS from your army: That unit can still be selected as the target of ranged attacks, but each time such an attack is made, unless it is made with a Pistol, subtract 1 from the Hit roll. Models in that unit do not need to take Desperate Escape tests due to Falling Back while Battle-shocked, except for those that will move over enemy models when doing so.""], [""Defence Line:"", "" While an ASTRA MILITARUM INFANTRY model has the Benefit of Cover as a result of this terrain feature (see above), that model has a 4+ invulnerable save.""]]","[[""1 Aegis Defence Line"", ""add""]]","[[""1"", ""145""]]"
Earthshaker Platform,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy Infantry unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]","[[""Wargear"", ""*""]]","[[""1"", ""110""]]"
Hydra Platform,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]","[[""Wargear"", ""*""]]","[[""1"", ""95""]]"
Manticore Platform,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]","[[""Wargear"", ""*""]]","[[""1"", ""95""]]"
Sabre Weapons Battery,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Sentinel Directives:"", "" Each time you target this unit with the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 5+ when resolving that Stratagem.""]]","[[""Defence Searchlight:"", "" At the start of your Shooting phase, you can select one enemy unit within 24\"" and visible to the bearer. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]","[[""1"", ""45""], [""2"", ""90""]]"
Armoured Sentinels,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise 1""]","[""Faction"", ""*""]","[[""Mobile Hunter-killers:"", "" Each time a model in this unit makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""70""], [""2"", ""140""], [""3"", ""210""]]"
Attilan Rough Riders,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Horsemasters:"", "" You can ignore any or all modifiers to this unit's Move characteristic and to Advance and Charge rolls made for it. In addition, this unit is eligible to shoot and declare a charge in a turn in which it Fell Back.""]]","[[""Wargear"", ""*""]]","[[""5"", ""70""], [""10"", ""140""]]"
Baneblade,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Rolling Fortress:"", "" Each time a ranged attack is allocated to an ASTRA MILITARUM model from your army, if that model is not fully visible to every model in the attacking unit because of this BANEBLADE model, that model has the Benefit of Cover against that attack.""]]","[[""Wargear"", ""*""]]","[[""1"", ""480""]]"
Banehammer,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]","[""Faction"", ""*""]","[[""Tremor Quake:"", "" In your Shooting phase, just after selecting a target for this model's tremor cannon, the target unit and every other enemy INFANTRY unit within 3\"" of that unit must take a Battle-shock test.""]]","[[""Wargear"", ""*""]]","[[""1"", ""450""]]"
Banesword,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Armour Obliteration:"", "" Each time an attack made with this model's quake cannon destroys an enemy model that has the Deadly Demise ability, that model's Deadly Demise ability inflicts mortal wounds on a D6 roll of 3+ instead of on a 6.""]]","[[""Wargear"", ""*""]]","[[""1"", ""480""]]"
Basilisk,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy INFANTRY unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]","[[""Wargear"", ""*""]]","[[""1"", ""135""]]"
Bullgryn Squad,"[""Weapon"", ""*""]","[""CORE"", "" Feel No Pain 6+""]","[""Faction"", ""*""]","[[""Wall of Muscle:"", "" Each time an attack is allocated to a model in this unit, subtract 1 from the Damage characteristic of that attack (to a minimum of 1).""]]","[[""Brute Shield:"", "" The bearer has a 4+ invulnerable save.""]]","[[""Slabshield:"", "" The bearer has a Wounds characteristic of 4.""]]","[[""3"", ""80""], [""6"", ""160""]]"
Deathstrike,"[[""Plasma Warhead:"", "" The bearer can only shoot with this weapon in your Shooting phase, and only if it Remained Stationary this turn and you did not use its Deathstrike Missile ability to Designate Target or Adjust Target this phase. When the bearer shoots with this weapon, do not select a target. Instead, resolve this weapon's attacks, rolling for each unit within 6\"" of the centre of its Deathstrike Target marker individually.""],[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Deathstrike Missile:"", "" In your Shooting phase, each time this model is selected to shoot, if it has not shot with its Deathstrike missile this battle, you can do one of the following in addition to resolving this model's ranged attacks: ""], [""Designate Target:"", "" If this model does not have a Deathstrike Target marker on the battlefield, place a Deathstrike Target marker for this model anywhere on the battlefield.""], [""Adjust Target:"", "" If this model has a Deathstrike Target marker on the battlefield, move that marker to anywhere else on the battlefield.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Doomhammer,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]","[""Faction"", ""*""]","[[""Close-range Titan Killer:"", "" Each time this model's magma cannon targets an enemy MONSTER or VEHICLE unit, that target is always considered to be within half range of that weapon.""]]","[[""Wargear"", ""*""]]","[[""1"", ""455""]]"
Field Ordnance Battery,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Rearm, Reload, Fire:"", "" While this unit is being affected by an Order, provided it Remained Stationary this turn, all Heavy weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]]","[[""Wargear"", ""*""]]","[[""2"", ""120""]]"
Heavy Weapons Squad,"[""Weapon"", ""*""]","[""Core"",""*""]","[""Faction"", ""*""]","[[""Covering Fire:"", "" Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or on unmodified Hit rolls of 4+ instead if this unit is within 6\"" of one or more friendly PLATOON units.""]]","[[""Wargear"", ""*""]]","[[""3"", ""60""]]"
Hellhammer,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D6+2""]","[""Faction"", ""*""]","[[""Close-quarters Warfare:"", "" This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.""]]","[[""Wargear"", ""*""]]","[[""1"", ""450""]]"
Hellhound,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D6""]","[""Faction"", ""*""]","[[""Flush Them Out:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]","[[""Wargear"", ""*""]]","[[""1"", ""125""]]"
Hydra,"[""Weapon"", ""*""]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""95""]]"
Kasrkin,"[""Weapon"", ""*""]","[""CORE"", "" Scouts 6""]","[""Faction"", ""*""]","[[""Warrior Elite:"", "" In your Command phase, you can select one Order to affect this unit until the start of your next Command phase, in addition to any other Orders issued to this unit by an OFFICER model this turn.""]]","[[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""],[""Melta Mine:"", "" Once per battle, at the start of any phase, you can select one enemy unit within 3\"" of the bearer and roll one D6: on a 2+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a VEHICLE unit.""]]","[[""10"", ""100""]]"
Leman Russ Battle Tank,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Armoured Spearhead:"", "" Each time this model makes an attack that targets an enemy unit, re-roll a Hit roll of 1 and, if that unit is within range of an objective marker you do not control, you can re-roll the Hit roll instead.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Demolisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Line-breaker:"", "" When making ranged attacks with its demolisher battle cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""200""]]"
Leman Russ Eradicator,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Urban Warfare:"", "" When making ranged attacks with its eradicator nova cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Leman Russ Executioner,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Gung-ho Executioners:"", "" Each time this model makes an attack with its executioner plasma cannon that targets a unit that is Below Half-strength, add 1 to the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Exterminator,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Withering Hail:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks made with its exterminator autocannon. Until the end of the phase, each time a friendly ASTRA MILITARUM unit makes an attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per phase.""]]","[[""Wargear"", ""*""]]","[[""1"", ""180""]]"
Leman Russ Punisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Mow Down the Enemy:"", "" Each time this model makes an attack with its punisher gatling cannon that targets an enemy unit (excluding MONSTERS and VEHICLES), that attack has the [DEVASTATING WOUNDS] ability.""]]","[[""Wargear"", ""*""]]","[[""1"", ""160""]]"
Leman Russ Vanquisher,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Tank-killer:"", "" Each time this model makes a ranged attack with its vanquisher battle cannon that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""155""]]"
Manticore,"[[""One Shot:"", "" The bearer can only shoot with this weapon once per battle.""]]","[""CORE"", "" Deadly Demise D3""]","[""Faction"", ""*""]","[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""]]","[[""Wargear"", ""*""]]","[[""1"", ""150""]]"
