Name,Keyword
Barbgaunts,"[""INFANTRY"", "" GREAT DEVOURER"", "" BARBGAUNTS""]"
Biovores,"[""INFANTRY"", "" GREAT DEVOURER"", "" BIOVORES""]"
Carnifexes,"[""MONSTER"", "" GREAT DEVOURER"", "" CARNIFEXES""]"
Exocrine,"[""MONSTER"", "" GREAT DEVOURER"", "" EXOCRINE""]"
Genestealers,"[""INFANTRY"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" GENESTEALERS""]"
Harpy,"[""MONSTER"", "" FLY"", "" AIRCRAFT"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" HARPY""]"
Haruspex,"[""MONSTER"", "" GREAT DEVOURER"", "" HARVESTER"", "" HARUSPEX""]"
Hive Crone,"[""MONSTER"", "" FLY"", "" AIRCRAFT"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" HIVE CRONE""]"
Hive Guard,"[""INFANTRY"", "" GREAT DEVOURER"", "" HIVE GUARD""]"
Lictor,"[""INFANTRY"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" LICTOR""]"
Maleceptor,"[""MONSTER"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" MALECEPTOR""]"
Mawloc,"[""MONSTER"", "" GREAT DEVOURER"", "" MAWLOC""]"
Mucolid Spores,"[""BEAST"", "" FLY"", "" GREAT DEVOURER"", "" MUCOLID SPORES""]"
Neurogaunts,"[""INFANTRY"", "" GREAT DEVOURER"", "" ENDLESS MULTITUDE"", "" NEUROGAUNTS""]"
Neurolictor,"[""INFANTRY"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" NEUROLICTOR""]"
Norn Assimilator,"[""MONSTER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" NORN ASSIMILATOR""]"
Norn Emissary,"[""MONSTER"", "" PSYKER"", "" GREAT DEVOURER"", "" SYNAPSE"", "" NORN EMISSARY""]"
Psychophage,"[""MONSTER"", "" GREAT DEVOURER"", "" HARVESTER"", "" PSYCHOPHAGE""]"
Pyrovores,"[""INFANTRY"", "" GREAT DEVOURER"", "" HARVESTER"", "" PYROVORES""]"
Raveners,"[""INFANTRY"", "" GREAT DEVOURER"", "" RAVENERS""]"
Ripper Swarms,"[""SWARM"", "" GREAT DEVOURER"", "" HARVESTER"", "" RIPPER SWARMS""]"
Screamer-killer,"[""MONSTER"", "" GREAT DEVOURER"", "" SCREAMER-KILLER""]"
Spore Mines,"[""BEAST"", "" FLY"", "" GREAT DEVOURER"", "" SPORE MINES""]"
Sporocyst,"[""MONSTER"", "" GREAT DEVOURER"", "" SPOROCYST""]"
Toxicrene,"[""MONSTER"", "" GREAT DEVOURER"", "" TOXICRENE""]"
Trygon,"[""MONSTER"", "" GREAT DEVOURER"", "" TRYGON""]"
Tyranid Warriors With Melee Bio-weapons,"[""INFANTRY"", "" GREAT DEVOURER"", "" SYNAPSE"", "" TYRANID WARRIORS WITH MELEE BIO-WEAPONS""]"
Tyranid Warriors With Ranged Bio-weapons,"[""INFANTRY"", "" GREAT DEVOURER"", "" SYNAPSE"", "" TYRANID WARRIORS WITH RANGED BIO-WEAPONS""]"
Tyrannofex,"[""MONSTER"", "" GREAT DEVOURER"", "" TYRANNOFEX""]"
Tyrant Guard,"[""INFANTRY"", "" GREAT DEVOURER"", "" TYRANT GUARD""]"
Venomthropes,"[""INFANTRY"", "" FLY"", "" GREAT DEVOURER"", "" VENOMTHROPES""]"
Von Ryan's Leapers,"[""INFANTRY"", "" GREAT DEVOURER"", "" VANGUARD INVADER"", "" VON RYAN’S LEAPERS""]"
Zoanthropes,"[""INFANTRY"", "" PSYKER"", "" FLY"", "" GREAT DEVOURER"", "" SYNAPSE"", "" ZOANTHROPES""]"
Barbed Hierodule,"[""MONSTER"", "" GREAT DEVOURER"", "" BARBED HIERODULE""]"
Harridan,"[""MONSTER"", "" TITANIC"", "" FLY"", "" AIRCRAFT"", "" TRANSPORT"", "" GREAT DEVOURER"", "" HARRIDAN""]"
Hierophant,"[""MONSTER"", "" TITANIC"", "" TOWERING"", "" TRANSPORT"", "" GREAT DEVOURER"", "" HIEROPHANT""]"
Scythed Hierodule,"[""MONSTER"", "" GREAT DEVOURER"", "" SCYTHED HIERODULE""]"
