Name,M,T,Sv,W,Ld,OC
Malcador Infernus,(⌀Use model),0,records purged,10,11,2,18,7,5
Marauder Bomber,(⌀Use model),0,records purged,10,2,20,7,0
Marauder Destroyer,(⌀Use model),0,records purged,10,2,20,7,0
Medusa Carriage Battery,(⌀Use model),0,records purged,4,7,4,6,7,2
Praetor,(⌀Use model),0,records purged,10,11,2,18,7,5
Rapier Laser Destroyer Battery,(⌀Use model),0,records purged,6,4,4,3,7,1
Stormblade,(⌀Use model),0,records purged,9,13,2,24,7,8
Tarantula Battery,(⌀Use model),0,records purged,0,5,3,4,7,0
Thunderbolt Heavy Fighter,Unknown,0,records purged,10,3,15,7,0
Trojan Support Vehicle,(⌀Use model),0,records purged,10,9,3,11,7,2
Valdor,(⌀Use model),0,records purged,9,13,2,20,7,8
Voss-pattern Lightning,(⌀120 x 92mm flying base),0,records purged,9,3,14,7,0
Vulture Gunship,(⌀120 x 92mm flying base),0,records purged,10,2,14,7,0
Aquila Lander,(⌀120 x 92mm flying base),0,records purged,9,3,12,7,0
Arkurian Stormhammer,(⌀Use model),0,records purged,9,13,2,24,7,8
Armageddon-pattern Medusa,(⌀Use model),0,records purged,10,9,3,11,7,3
Arvus Lighter,(⌀120 x 92mm flying base),0,records purged,8,3,8,7,0
Atlas Recovery Vehicle,(⌀Use model),0,records purged,10,9,3,10,7,3
Centaur Light Carrier,(⌀Use model),0,records purged,10,7,3,7,7,1
GRENADIER,(⌀25mm),0,records purged,6,3,4,1,7,2
HEAVY WEAPONS TEAM,(⌀25mm),0,records purged,6,3,4,2,7,1
Dominus Armoured Siege Bombard,(⌀Use model),0,records purged,9,13,2,20,7,8
Elysian Drop Sentinel,(⌀60mm),0,records purged,10,6,3,6,7,2
Elysian Sniper Squad,(⌀60mm),0,records purged,6,3,5,2,7,2
Gorgon Heavy Transport,(⌀Use model),5+,records purged,9,13,2,20,7,8
Griffon Mortar Carrier,(⌀Use model),0,records purged,10,9,3,11,7,3
Heavy Mortar Team,(⌀Use model),0,records purged,4,5,3,4,7,2
Heavy Quad Launcher Team,(⌀Use model),0,records purged,4,5,3,4,7,2
Macharius Omega,(⌀Use model),0,records purged,9,13,2,20,7,8
Minotaur,(⌀Use model),0,records purged,10,11,2,18,7,5
Mukaali Riders,(⌀40mm),0,records purged,8,6,4,5,7,2
Salamander Command Vehicle,(⌀Use model),0,records purged,12,8,3,10,7,3
Salamander Scout Vehicle,(⌀Use model),0,records purged,12,8,3,10,7,3
Sentinel Powerlifter,(⌀Use model),0,records purged,8,7,3,6,7,2
Stygies Destroyer Tank Hunter,(⌀Use model),0,records purged,10,11,2,13,7,3
Tauros Assault Vehicle,(⌀Use model),0,records purged,12,6,4,6,7,2
Tauros Venator,(⌀Use model),0,records purged,12,6,4,6,7,2
Valkyrie Sky Talon,(⌀120 x 92mm flying base),0,records purged,10,2,14,7,0
Vendetta Gunship,(⌀120 x 92mm flying base),0,records purged,10,2,14,7,0
